City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Barrow,US,71.2906,-156.7887,1.42,71,100,8.05,overcast clouds
79,Kansanshi,ZM,-12.0951,26.4273,53.56,89,70,4.99,broken clouds
80,Hoa Binh,VN,20.8133,105.3383,86.81,56,68,6.11,broken clouds
81,Duki,PK,30.1541,68.5728,78.03,19,100,2.06,overcast clouds
82,Dingli,MT,35.8614,14.3822,57.81,94,20,8.05,few clouds
83,San Patricio,US,28.017,-97.5169,76.87,92,96,8.79,overcast clouds
84,Iquitos,PE,-3.7481,-73.2472,77.04,94,100,1.14,light rain
85,Senno,RU,59.5336,33.9167,53.65,70,7,5.41,clear sky
86,Richmond,US,37.5538,-77.4603,57.15,75,75,5.75,broken clouds
87,Alice Town,BS,25.7167,-79.3,78.66,72,35,9.06,scattered clouds
88,Chumikan,RU,54.7183,135.315,32.09,99,100,13.33,snow
89,Ayr,GB,55.4627,-4.6339,41.5,76,99,8.48,overcast clouds
90,Atuona,PF,-9.8,-139.0333,81.59,77,18,17.49,few clouds
91,Pangody,RU,65.85,74.4859,25.12,88,31,7.67,scattered clouds
92,Antofagasta,CL,-23.65,-70.4,60.08,80,19,3.87,few clouds
93,Cherskiy,RU,68.75,161.3,21.85,87,80,6.55,broken clouds
94,Issoire,FR,45.55,3.25,52.86,92,99,3.65,overcast clouds
95,Kaitangata,NZ,-46.2817,169.8464,58.93,77,40,2.64,scattered clouds
96,Geraldton,AU,-28.7667,114.6,73.81,49,40,16.11,scattered clouds
97,Pangnirtung,CA,66.1451,-65.7125,28.9,86,98,3.13,overcast clouds
98,Chokurdakh,RU,70.6333,147.9167,29.73,87,98,4.07,overcast clouds
99,Labuhan,ID,-6.8844,112.2051,86.31,68,77,5.99,broken clouds
100,Tazovskiy,RU,67.4667,78.7,20.03,93,96,0.49,overcast clouds
101,Arman,RU,59.7,150.1667,38.48,68,29,3.62,scattered clouds
102,Durango,MX,24.8333,-104.8333,59.22,22,37,10.04,scattered clouds
103,Ugoofaaru,MV,5.6667,73.0,84.06,75,24,7.29,few clouds
